Model	Displ	Cyl	Trans	Drive	Fuel	Cert Region	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay
AUDI A3	2	4	AMS-7	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LVGAV02.0A3A	small car	7	27	36	30	7	Yes
AUDI A3	2	4	AMS-7	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LVGAV02.0A3A	small car	7	27	36	30	7	Yes
AUDI A4	2	4	AMS-7	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	LVGAV02.0A7B	small car	5	27	35	30	7	Yes
AUDI A4	2	4	AMS-7	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	LVGAV02.0A7B	small car	5	27	35	30	7	Yes
AUDI Q5	2	4	AMS-7	4WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	LVGAJ02.0A3P	small SUV	7	25/64	29/66	27/65	10	Elite
AUDI Q5	2	4	AMS-7	4WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	LVGAJ02.0A3P	small SUV	7	25/64	29/66	27/65	10	Elite
AUDI e-tron Sportback	N/A	N/A	Auto-1	4WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LVGAT00.0AZE	standard SUV	10	76	78	77	10	Elite
AUDI e-tron Sportback	N/A	N/A	Auto-1	4WD	Electricity	CA	ZEV	California ZEV	LVGAT00.0AZE	standard SUV	10	76	78	77	10	Elite
BMW 330i	2	4	SemiAuto-8	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	LBMXJ02.0B4X	small car	7	26	36	30	7	Yes
BMW 330i	2	4	SemiAuto-8	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	LBMXJ02.0B4X	small car	7	26	36	30	7	Yes
BMW 530e	2	4	SemiAuto-8	2WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	LBMXJ02.0H30	small car	7	25/65	31/75	27/69	10	Elite
BMW 530e	2	4	SemiAuto-8	2WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	LBMXJ02.0H30	small car	7	25/65	31/75	27/69	10	Elite
BMW 530e	2	4	SemiAuto-8	4WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	LBMXJ02.0H30	small car	7	23/62	29/68	25/65	10	Elite
BMW 530e	2	4	SemiAuto-8	4WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	LBMXJ02.0H30	small car	7	23/62	29/68	25/65	10	Elite
BMW X3 xDrive30e	2	4	SemiAuto-8	4WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	LBMXJ02.0H30	small SUV	7	21/59	27/61	24/60	9	Yes
BMW X3 xDrive30e	2	4	SemiAuto-8	4WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	LBMXJ02.0H30	small SUV	7	21/59	27/61	24/60	9	Yes
BMW i3	.6	2	Auto-1	2WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	LBMXV00.6I3R	small car	7	30/107	31/93	31/100	10	Elite
BMW i3	.6	2	Auto-1	2WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	LBMXV00.6I3R	small car	7	30/107	31/93	31/100	10	Elite
BMW i3	N/A	N/A	Auto-1	2WD	Electricity	FA	T3B0	Federal Tier 3 Bin 0	LBMXV00.0I3B	small car	10	124	102	113	10	Elite
BMW i3	N/A	N/A	Auto-1	2WD	Electricity	CA	ZEV	California ZEV	LBMXV00.0I3B	small car	10	124	102	113	10	Elite
BMW i3s	.6	2	Auto-1	2WD	Gasoline/Electricity	CA	L3SULEV30	California LEV-III SULEV30	LBMXV00.6I3R	small car	7	30/107	31/93	31/100	10	Elite
